Ticker,Name,Price,Expense Ratio,Category,Morning Star Rating,Net Assets,Holdings Turnover,Inception Date,Fund Family,Cash,Stocks,Bonds,Others,Preferred,Convertable,Basic Materials,Consumer Cyclical,Financial Services,Realestate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology,Number Years Up,Number Years Down,YTD,1-Month,3-Month,1-Year,3-Year,5-Year,10-Year,Inception,Minimum Initial Investment,Minimum Subsequent Investment,Mutual Fund,ETF,Capture Date
ABQYX,AB Total Return Bond Portfolio Advisor Class,11.50,0.52,Intermediate Core-Plus Bond,3,381.05M,83.00,2000-10-09,AllianceBernstein,12.80,0.10,76.80,0.00,0.22,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,3,6.82,0.63,2.00,6.82,5.11,4.75,4.19,NULL,0,0,True,False,2021-01-26
ABQUX,AB Total Return Bond Portfolio Class A,11.50,0.77,Intermediate Core-Plus Bond,2,381.05M,83.00,1999-06-30,AllianceBernstein,12.80,0.10,76.80,0.00,0.22,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,4,6.56,0.61,1.94,6.56,4.86,4.47,3.90,NULL,2500,50,True,False,2021-01-26
ABQCX,AB Total Return Bond Portfolio Class C,11.47,1.52,Intermediate Core-Plus Bond,1,381.05M,83.00,1999-06-30,AllianceBernstein,12.80,0.10,76.80,0.00,0.22,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,4,5.78,0.54,1.75,5.78,4.09,3.70,3.16,NULL,2500,50,True,False,2021-01-26
WPSGX,AB Concentrated Growth Fund Advisor Class,51.17,0.78,Large Growth,3,970.43M,23.00,1994-02-27,AllianceBernstein,1.61,98.39,0.00,0.00,0.00,0.00,0.00,17.48,17.40,1.77,0.00,20.90,0.00,8.91,0.00,14.51,19.02,21,5,21.25,3.23,12.42,21.25,19.78,17.37,15.06,NULL,0,0,True,False,2021-01-26
QUAYX,AB Small Cap Growth Portfolio Advisor Class,93.74,0.92,Small Growth,5,4.41B,75.00,1996-09-30,AllianceBernstein,1.20,98.77,0.00,0.03,0.00,0.00,0.49,12.42,7.03,1.22,5.62,29.50,0.02,0.03,0.00,16.75,26.93,16,8,53.98,8.26,26.67,53.98,27.69,24.54,17.74,NULL,0,0,True,False,2021-01-26
QUACX,AB Small Cap Growth Portfolio Class C,41.05,1.92,Small Growth,4,4.41B,75.00,1993-05-02,AllianceBernstein,1.20,98.77,0.00,0.03,0.00,0.00,0.49,12.42,7.03,1.22,5.62,29.50,0.02,0.03,0.00,16.75,26.93,18,9,52.43,8.16,26.36,52.43,26.42,23.30,16.56,NULL,2500,50,True,False,2021-01-26
ADGAX,AB Core Opportunities Fund Class A,22.76,1.11,Large Growth,2,207.28M,81.00,1999-12-21,AllianceBernstein,8.50,91.50,0.00,0.00,0.00,0.00,0.00,12.90,9.83,2.19,4.48,18.51,0.00,17.91,0.48,11.08,22.62,18,3,12.99,3.28,12.71,12.99,11.69,13.01,13.47,NULL,2500,50,True,False,2021-01-26
ADGCX,AB Core Opportunities Fund Class C,17.86,1.86,Large Growth,2,207.28M,81.00,1999-12-21,AllianceBernstein,8.50,91.50,0.00,0.00,0.00,0.00,0.00,12.90,9.83,2.19,4.48,18.51,0.00,17.91,0.48,11.08,22.62,18,3,12.16,3.20,12.51,12.16,10.85,12.17,12.64,NULL,2500,50,True,False,2021-01-26
CHCYX,AB Discovery Growth Fund Advisor Class,16.64,0.73,Mid-Cap Growth,4,3.47B,80.00,1996-09-30,AllianceBernstein,1.39,98.56,0.00,0.05,0.00,0.00,1.14,12.82,6.10,0.48,5.08,24.88,0.02,0.04,0.00,14.19,35.25,17,7,52.97,5.99,22.27,52.97,24.16,21.70,16.29,NULL,0,0,True,False,2021-01-26
CHCCX,AB Discovery Growth Fund Class C,6.85,1.73,Mid-Cap Growth,3,3.47B,80.00,1993-05-02,AllianceBernstein,1.39,98.56,0.00,0.05,0.00,0.00,1.14,12.82,6.10,0.48,5.08,24.88,0.02,0.04,0.00,14.19,35.25,19,8,51.54,5.89,22.01,51.54,22.95,20.48,15.14,NULL,2500,50,True,False,2021-01-26
