Ticker,Name,Price,Expense Ratio,Category,Morning Star Rating,Net Assets,Holdings Turnover,Inception Date,Fund Family,Cash,Stocks,Bonds,Others,Preferred,Convertable,Basic Materials,Consumer Cyclical,Financial Services,Realestate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology,Number Years Up,Number Years Down,YTD,1-Month,3-Month,1-Year,3-Year,5-Year,10-Year,Inception,Minimum Initial Investment,Minimum Subsequent Investment,Mutual Fund,ETF,Capture Date
ACGYX,AB Income Fund Advisor Class,8.07,0.52,Intermediate Core-Plus Bond,4,4.62B,270.00,1987-08-27,AllianceBernstein,6.83,0.16,85.22,0.03,0.17,1.24,0.00,0.00,61.67,0.00,0.00,0.00,0.00,22.63,12.78,2.55,0.37,26,6,3.13,-0.28,0.01,3.81,4.21,4.62,5.03,NULL,0,0,TRUE,FALSE,2020-11-13
ALCAX,AB Municipal Income Fund California Portfolio Class A,11.31,0.75,Muni California Intermediate,4,947.14M,16.00,1986-12-28,AllianceBernstein,2.55,0.00,97.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,5,2.02,-0.05,-0.15,2.50,3.14,3.07,3.79,NULL,2500,50,TRUE,FALSE,2020-11-13
ALTHX,AB Municipal Income Fund National Portfolio Class A,10.51,0.75,Muni National Interm,4,1.66B,28.00,1986-12-28,AllianceBernstein,2.20,0.00,97.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,5,2.01,-0.10,-0.28,2.44,3.24,3.32,3.78,NULL,2500,50,TRUE,FALSE,2020-11-13
ALNYX,AB Municipal Income Fund New York Portfolio Class A,10.00,0.75,Muni New York Intermediate,4,619.23M,23.00,1986-12-28,AllianceBernstein,4.82,0.00,95.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,5,0.36,0.00,-0.11,0.89,2.62,2.85,3.14,NULL,2500,50,TRUE,FALSE,2020-11-13
AGRFX,AB Growth Fund Class A,101.34,1.17,Large Growth,4,1.32B,38.00,1990-09-03,AllianceBernstein,2.92,97.08,0.00,0.00,0.00,0.00,1.59,16.26,8.10,0.00,6.59,23.43,0.00,17.51,0.00,4.80,21.72,23,6,18.25,-1.15,1.35,24.83,18.78,16.80,15.82,NULL,2500,50,TRUE,FALSE,2020-11-13
ALTFX,AB Sustainable Global Thematic Fund Class A,160.00,1.22,World Large Stock,4,1.49B,37.00,1982-02-28,AllianceBernstein,7.81,92.19,0.00,0.00,0.00,0.00,6.61,6.13,9.26,0.00,4.61,24.51,1.77,1.81,0.00,19.46,25.85,29,8,22.43,-0.13,5.59,32.04,14.09,14.79,9.37,NULL,2500,50,TRUE,FALSE,2020-11-13
CGFIX,Aberdeen Global Absolute Return Strategies Fund Institutional Service Class,10.49,0.79,Multialternative,4,21.78M,53.05,1990-10-31,Aberdeen,63.05,20.32,15.70,0.94,0.00,0.00,12.52,3.91,1.18,16.67,1.01,0.65,12.22,12.14,0.02,14.70,24.98,24,5,2.07,-0.58,0.58,3.35,3.45,4.14,1.72,NULL,1000000,0,TRUE,FALSE,2020-11-13
ABEIX,Aberdeen Intermediate Municipal Income Fund Institutional Class,9.78,0.50,Muni National Interm,3,65.18M,58.33,1986-03-16,Aberdeen,1.66,0.00,98.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,5,0.59,-0.06,-0.31,0.96,2.58,2.23,2.99,NULL,1000000,0,TRUE,FALSE,2020-11-13
EGLRX,Aberdeen International Real Estate Equity Fund Institutional Class,19.89,1.38,Global Real Estate,2,20.59M,60.73,1989-01-31,Aberdeen,0.75,99.25,0.00,0.00,0.00,0.00,0.00,1.65,0.00,98.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19,11,-18.41,-5.18,-5.53,-15.27,-2.34,0.99,-0.49,NULL,1000000,0,TRUE,FALSE,2020-11-13
ICSCX,ICM Small Company Portfolio,26.28,0.93,Small Blend,3,1.18B,31.00,1989-04-18,ICM Series Trust,4.62,95.38,0.00,0.00,0.00,0.00,3.70,18.35,18.09,9.33,3.89,5.63,1.64,1.35,2.05,22.58,13.39,22,8,-17.84,3.71,4.15,-13.91,-3.23,5.42,8.38,NULL,2500000,1000,TRUE,FALSE,2020-11-13
OPTFX,Invesco Capital Appreciation Fund Class A,70.27,1.05,Large Growth,3,4.56B,31.00,1981-01-21,Invesco,0.13,99.87,0.00,0.00,0.00,0.00,1.88,21.64,11.46,0.53,2.72,10.04,0.00,18.78,0.55,3.79,28.62,28,10,17.84,-2.59,0.66,27.24,15.94,13.10,12.97,NULL,1000,50,TRUE,FALSE,2020-11-13
OPOCX,Invesco Discovery Fund Class A,109.84,1.08,Small Growth,5,3.43B,76.00,1986-09-10,Invesco,0.71,99.29,0.00,0.00,0.00,0.00,0.98,10.81,5.00,1.36,4.05,29.02,0.00,2.93,0.00,20.10,25.76,24,9,25.14,2.38,3.14,35.42,19.38,16.75,15.67,NULL,1000,50,TRUE,FALSE,2020-11-13
MSIGX,Invesco Main Street Fund Class A,52.56,0.85,Large Blend,3,8.91B,7.00,1988-02-02,Invesco,0.69,99.31,0.00,0.00,0.00,0.00,0.59,12.98,15.11,2.79,8.75,16.61,1.22,8.78,2.33,9.00,21.83,23,8,1.16,-2.46,-0.04,7.38,8.17,9.58,11.39,NULL,1000,50,TRUE,FALSE,2020-11-13
SMMIX,Invesco Summit Fund Class P,28.80,0.86,Large Growth,3,3.07B,29.00,1982-10-31,Invesco,0.05,99.95,0.00,0.00,0.00,0.00,1.74,21.66,11.26,1.30,2.62,11.06,0.00,19.14,0.54,3.93,26.76,28,9,21.27,-2.33,1.55,31.42,18.29,16.67,15.09,NULL,0,0,TRUE,FALSE,2020-11-13
VKMGX,Invesco Quality Income Fund Class A,11.91,0.81,Intermediate Core Bond,2,1.15B,448.00,1984-05-30,Invesco,2.56,0.00,97.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30,5,4.86,0.14,1.00,5.08,3.58,2.94,3.02,NULL,1000,50,TRUE,FALSE,2020-11-13
OPGIX,Invesco Global Opportunities Fund Class A,74.23,1.09,World Small/Mid Stock,5,7.52B,0.00,1990-10-21,Invesco,1.01,98.99,0.00,0.00,0.00,0.00,0.76,9.68,0.76,0.00,1.87,32.83,0.00,4.16,0.00,11.28,38.66,20,9,12.01,0.66,2.48,25.88,9.69,16.72,12.29,NULL,1000,50,TRUE,FALSE,2020-11-13
QIVAX,Invesco International Equity Fund Class A,23.61,1.23,Foreign Large Blend,4,1.33B,54.00,1990-07-01,Invesco,3.26,96.74,0.00,0.00,0.00,0.00,17.57,14.87,0.61,0.00,6.66,8.01,0.00,8.24,1.25,7.92,34.88,21,8,0.18,-2.54,0.32,6.57,0.41,5.37,4.14,NULL,1000,50,TRUE,FALSE,2020-11-13
OPIGX,Invesco Core Bond Fund Class A,7.08,0.75,Intermediate Core Bond,5,1.82B,0.00,1988-04-14,Invesco,28.42,0.00,70.36,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26,5,7.56,-0.43,-1.01,7.34,5.34,4.38,4.52,NULL,1000,50,TRUE,FALSE,2020-11-13
QVOPX,Invesco Fundamental Alternatives Fund Class A,26.89,1.66,Multialternative,3,812.89M,0.00,1989-01-02,Invesco,32.46,30.39,29.91,6.42,0.00,0.00,3.32,11.28,10.20,0.44,4.89,18.10,3.91,9.28,2.81,14.71,21.05,24,6,-1.52,-0.97,-0.82,0.96,0.95,0.89,2.11,NULL,1000,50,TRUE,FALSE,2020-11-13
OPSIX,Invesco Global Strategic Income Fund Class A,3.6600,1.00,Multisector Bond,1,2.69B,0.00,1989-10-15,Invesco,53.67,0.01,34.03,2.64,0.00,0.53,0.00,7.03,0.00,0.00,0.00,0.00,0.00,0.00,68.48,24.49,0.00,25,5,-2.58,-0.07,0.01,-1.19,1.14,2.51,2.78,NULL,1000,50,TRUE,FALSE,2020-11-13
GGHCX,Invesco Health Care Fund Class A,45.39,1.08,Health,3,1.43B,11.00,1989-08-06,Invesco,3.64,96.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,99.70,0.00,0.00,0.00,0.00,0.00,26,4,-0.31,-2.99,-1.55,12.32,9.91,6.37,11.83,NULL,1000,50,TRUE,FALSE,2020-11-13
AGOVX,Invesco Income Fund Class A,7.61,1.01,Nontraditional Bond,1,600.76M,50.00,1987-04-27,Invesco,2.25,0.55,91.35,0.00,4.50,0.17,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,4,-10.50,0.20,2.34,-9.78,-1.38,-0.40,0.69,NULL,1000,50,TRUE,FALSE,2020-11-13
SHTIX,Invesco Short Duration Inflation Protected Fund Class A2,10.64,0.45,Inflation-Protected Bond,1,505.42M,45.00,1987-12-14,Invesco,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,4,3.52,-0.28,0.57,4.40,2.66,2.17,1.09,NULL,1000,50,TRUE,FALSE,2020-11-13
ALMIX,Invesco Short Duration Inflation Protected Fund Class R5,10.64,0.29,Inflation-Protected Bond,2,505.42M,45.00,1987-07-12,Invesco,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30,2,3.64,-0.28,0.71,4.57,2.81,2.31,1.20,NULL,1000000,0,TRUE,FALSE,2020-11-13
CGRWX,Invesco Comstock Select Fund Class A,25.99,0.93,Large Value,1,474.81M,11.00,1985-09-15,Invesco,3.14,96.86,0.00,0.00,0.00,0.00,0.00,4.26,22.21,0.00,5.88,14.12,3.04,4.92,8.95,18.58,18.04,24,10,-18.89,0.79,0.56,-12.54,-1.57,3.08,6.75,NULL,1000,50,TRUE,FALSE,2020-11-13
FSTUX,Invesco Dividend Income Fund Investor Class,22.78,0.97,Large Value,3,3.44B,47.00,1986-06-01,Invesco,4.97,95.02,0.01,0.00,0.00,0.00,1.50,9.12,11.20,2.98,25.26,11.24,12.94,5.59,6.36,10.77,3.04,26,7,-9.87,-1.05,-1.21,-6.69,0.57,4.22,8.18,NULL,1000,50,TRUE,FALSE,2020-11-13
FSTEX,Invesco Energy Fund Investor Class,10.89,1.45,Equity Energy,3,150.79M,16.00,1984-01-18,Invesco,6.22,93.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,21,14,-51.00,-6.04,-19.03,-45.19,-26.17,-18.21,-10.58,NULL,1000,50,TRUE,FALSE,2020-11-13
OPGSX,Invesco Gold & Special Minerals Fund Class A,28.25,1.20,Equity Precious Metals,5,2.29B,44.00,1983-07-18,Invesco,2.37,97.28,0.00,0.34,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19,17,33.19,-2.79,-7.04,44.60,21.43,22.43,-2.71,NULL,1000,50,TRUE,FALSE,2020-11-13
FTCHX,Invesco Technology Fund Investor Class,67.78,1.09,Technology,2,1.45B,38.00,1984-01-18,Invesco,1.00,98.99,0.00,0.00,0.00,0.00,0.00,18.49,5.69,0.00,0.00,13.03,0.00,18.35,0.00,0.00,44.44,27,8,28.31,-1.76,2.50,38.09,19.58,18.10,14.83,NULL,1000,50,TRUE,FALSE,2020-11-13
OPCAX,Invesco California Municipal Fund Class A,9.06,0.90,Muni California Long,5,2.05B,11.00,1988-11-02,Invesco,0.04,0.00,99.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26,5,3.25,-0.18,-0.52,3.85,6.68,5.84,6.04,NULL,1000,50,TRUE,FALSE,2020-11-13
ACTHX,Invesco High Yield Municipal Fund Class A,9.87,1.13,High Yield Muni,4,9.63B,10.00,1986-01-01,Invesco,0.42,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28,5,-1.22,0.05,0.50,-0.29,3.75,4.38,5.46,NULL,1000,50,TRUE,FALSE,2020-11-13
AITFX,Invesco Limited Term Municipal Income Fund Class A2,11.51,0.36,Muni National Short,5,2.62B,26.00,1987-05-10,Invesco,0.77,0.00,99.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29,3,2.67,-0.09,0.08,3.09,2.61,2.14,2.74,NULL,1000,50,TRUE,FALSE,2020-11-13
